OPERATEUR;FILIERE;Année;code region;Nom Région;CODE CATEGORIE CONSOMMATION;CODE GRAND SECTEUR;CODE SECTEUR NAF2;Nb sites;Conso totale (MWh);Conso moyenne (MWh);Nombre de mailles secretisées;Part thermosensible (%);Conso totale à usages thermosensibles (MWh);Conso totale à usages non thermosensibles (MWh);Thermosensibilité totale (kWh DJU);Conso totale corrigée de l'aléa climatique à usages thermosensibles (MWh);Conso moyenne à usages thermosensibles (MWh);Conso moyenne à usages non thermosensibles (MWh);Thermosensibilité moyenne (kWh DJU);Conso moyenne corrigée de l'aléa climatique à usages thermosensibles (MWh);DJU à TR;DJU à TN;Nombre d'habitants;Taux de logements collectifs;Taux de résidences principales;Superficie des logements <30 m2;Superficie des logements 30 à 40 m2;Superficie des logements 40 à 60 m2;Superficie des logements 60 à 80 m2;Superficie des logements 80 à 100 m2;Superficie des logements >100 m2;Résidences principales avant 1919;Résidences principales de 1919 à 1945;Résidences principales de 1946 à 1970;Résidences principales de 1971 à 1990;Résidences principales de 1991 à 2005;Résidences principales de 2006 à 2015;Résidences principales après 2016;Taux de chauffage électrique
SAEML Hunelec;Electricité;2022;44;Grand Est;RES;RESIDENTIEL;;3938;10951.006;2.78085474860335;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAIC Pers Loisinges;Electricité;2022;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;735;8445.009;11.4898081632653;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SEM Beauvois Distrelec;Electricité;2019;32;Hauts-de-France;RES;RESIDENTIEL;;1041;4520.0;4.34197886647454;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SEM Beauvois Distrelec;Electricité;2020;32;Hauts-de-France;RES;RESIDENTIEL;;953;3750.0;3.93494228751312;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SEM Beauvois Distrelec;Electricité;2021;32;Hauts-de-France;RES;RESIDENTIEL;;949;3868.0;4.07586933614331;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE ELY;Electricité;2019;11;Île-de-France;RES;RESIDENTIEL;;11426;78600.0;6.87904778575179;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE Est;Electricité;2018;27;Bourgogne-Franche-Comté;RES;RESIDENTIEL;;16726;85798.0;5.12961855793376;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE Est;Electricité;2020;44;Grand Est;RES;RESIDENTIEL;;5892;26278.0;4.45994568906992;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE Est;Electricité;2022;27;Bourgogne-Franche-Comté;RES;RESIDENTIEL;;14304;74416.605;5.20250314597315;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE Oise;Electricité;2018;32;Hauts-de-France;RES;RESIDENTIEL;;65481;443947.0;6.77978344863395;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE Oise;Electricité;2021;32;Hauts-de-France;RES;RESIDENTIEL;;72322;467973.972;6.47070009125854;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE Oise;Electricité;2022;32;Hauts-de-France;RES;RESIDENTIEL;;72063;430614.0;5.97552141875859;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE de Carnin;Electricité;2018;32;Hauts-de-France;RES;RESIDENTIEL;;470;2917.0;6.2063829787234;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE de Carnin;Electricité;2020;32;Hauts-de-France;RES;RESIDENTIEL;;491;2230.0;4.54175152749491;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE de Precy-Saint-Martin;Electricité;2021;44;Grand Est;RES;RESIDENTIEL;;3525;30643.498;8.69319092198582;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE de Precy-Saint-Martin;Electricité;2022;44;Grand Est;RES;RESIDENTIEL;;3593;31424.481;8.74602866685221;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE de l'Aisne;Electricité;2018;32;Hauts-de-France;RES;RESIDENTIEL;;23646;126674.0;5.35710056669204;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE de l'Aisne;Electricité;2018;44;Grand Est;RES;RESIDENTIEL;;103;445.0;4.32038834951456;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE de l'Aisne;Electricité;2020;24;Centre-Val de Loire;RES;RESIDENTIEL;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE de l'Aisne;Electricité;2021;32;Hauts-de-France;RES;RESIDENTIEL;;21689;113883.221;5.25073636405551;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE de la Somme et du Cambraisis;Electricité;2022;32;Hauts-de-France;RES;RESIDENTIEL;;24636;139628.0;5.66764085078747;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE de la Somme et du Cambraisis;Gaz;2019;32;Hauts-de-France;RES;RESIDENTIEL;;278;4038.0;14.5251798561151;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE de la Somme et du Cambraisis;Gaz;2020;32;Hauts-de-France;RES;RESIDENTIEL;;25;265.0;10.6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE des cantons de la Ferté-Alais et limitrophes;Electricité;2019;11;Île-de-France;RES;RESIDENTIEL;;16029;112048.0;6.99033002682638;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE des cantons de la Ferté-Alais et limitrophes;Electricité;2020;11;Île-de-France;RES;RESIDENTIEL;;13349;79935.422;5.98812060828527;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE des cantons de la Ferté-Alais et limitrophes;Electricité;2021;11;Île-de-France;RES;RESIDENTIEL;;15072;87723.288;5.82028184713376;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE des cantons de la Ferté-Alais et limitrophes;Electricité;2022;11;Île-de-France;RES;RESIDENTIEL;;15090;79053.775;5.23881875414181;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE du Carmausin;Electricité;2021;76;Occitanie;RES;RESIDENTIEL;;5333;29826.175;5.59275735983499;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE du Carmausin;Electricité;2022;44;Grand Est;RES;RESIDENTIEL;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE du Carmausin;Electricité;2022;75;Nouvelle-Aquitaine;RES;RESIDENTIEL;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE du Carmausin;Electricité;2022;93;Provence-Alpes-Côte d'Azur;RES;RESIDENTIEL;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAP;Electricité;2019;24;Centre-Val de Loire;RES;RESIDENTIEL;;21815;157169.0;7.20462984185194;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOREA;Electricité;2020;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;10703;38715.0;3.61721012800149;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOREA;Electricité;2021;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;10551;45662.823;4.32781944839352;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRD;Electricité;2019;24;Centre-Val de Loire;RES;RESIDENTIEL;;13;83.0;6.38461538461539;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRD;Electricité;2019;75;Nouvelle-Aquitaine;RES;RESIDENTIEL;;123320;755423.0;6.12571359065845;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRD;Electricité;2020;75;Nouvelle-Aquitaine;RES;RESIDENTIEL;;124524;681346.0;5.47160386752754;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRD;Electricité;2021;24;Centre-Val de Loire;RES;RESIDENTIEL;;28;148.0;5.28571428571429;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sorégies;Gaz;2019;75;Nouvelle-Aquitaine;RES;RESIDENTIEL;;7760;121446.0;15.6502577319588;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sorégies;Gaz;2020;75;Nouvelle-Aquitaine;RES;RESIDENTIEL;;7732;90254.0;11.6727884117951;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strasbourg Électricité Réseaux;Electricité;2018;44;Grand Est;RES;RESIDENTIEL;;545814;2742274.0;5.02419139120653;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strasbourg Électricité Réseaux;Electricité;2021;44;Grand Est;RES;RESIDENTIEL;;465658;2228794.0;4.78633245858549;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syndicat des Energies Electriques de Tarentaise;Electricité;2021;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;4697;28250.0;6.01447732595274;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syndicat intercommunal d'électricité de Labergement Saint Marie;Electricité;2018;27;Bourgogne-Franche-Comté;RES;RESIDENTIEL;;5276;23460.0;4.44655041698256;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syndicat intercommunal d'électricité de Labergement Saint Marie;Electricité;2019;27;Bourgogne-Franche-Comté;RES;RESIDENTIEL;;5273;22728.0;4.31025981414754;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syndicat intercommunal d'électricité de Labergement Saint Marie;Electricité;2020;27;Bourgogne-Franche-Comté;RES;RESIDENTIEL;;4831;22037.0;4.5615814531153;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syndicat intercommunal d'électricité de Labergement Saint Marie;Electricité;2021;27;Bourgogne-Franche-Comté;RES;RESIDENTIEL;;5400;27656.323;5.1215412962963;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Synelva;Electricité;2021;24;Centre-Val de Loire;RES;RESIDENTIEL;;46616;314368.133;6.74378181311138;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Synelva;Gaz;2021;24;Centre-Val de Loire;RES;RESIDENTIEL;;275;4768.846;17.3412581818182;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Séolis;Gaz;2020;75;Nouvelle-Aquitaine;RES;RESIDENTIEL;;15;225.0;15.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URM (Metz);Electricité;2019;44;Grand Est;RES;RESIDENTIEL;;174637;743489.731;4.25734369578039;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Usines municipales d'Erstein;Electricité;2020;44;Grand Est;RES;RESIDENTIEL;;11255;64910.592;5.7672671701466;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Veolia eau;Gaz;2018;53;Bretagne;RES;RESIDENTIEL;;53;339.0;6.39622641509434;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vialis;Electricité;2021;44;Grand Est;RES;RESIDENTIEL;;47037;198993.279;4.23056910517252;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vialis;Electricité;2022;44;Grand Est;RES;RESIDENTIEL;;46977;181314.537;3.85964486876557;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vialis;Gaz;2021;44;Grand Est;RES;RESIDENTIEL;;28598;354845.364;12.4080482551227;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vialis SAEM;Electricité;2018;44;Grand Est;RES;RESIDENTIEL;;54595;235049.574;4.3053315138749;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energie et services de Seyssel;Gaz;2017;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;293;5732.0;19.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gedia;Gaz;2017;28;Normandie;RES;RESIDENTIEL;;277;5517.0;19.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;11;Île-de-France;RES;RESIDENTIEL;;2583383;42165316.0;16.0;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;76;Occitanie;RES;RESIDENTIEL;;872783;10683628.0;12.0;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie municipale multiservices de La Réole;Gaz;2017;75;Nouvelle-Aquitaine;RES;RESIDENTIEL;;1600;20680.58;12.0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Réseau GDS;Gaz;2017;44;Grand Est;RES;RESIDENTIEL;;109269;1885590.6;17.0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE de la Somme et du Cambraisis;Gaz;2017;32;Hauts-de-France;RES;RESIDENTIEL;;256;4413.0;17.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sorégies;Gaz;2017;24;Centre-Val de Loire;RES;RESIDENTIEL;;1240;13552.32;10.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sorégies;Gaz;2017;52;Pays de la Loire;RES;RESIDENTIEL;;2150;28260.24;13.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Veolia eau;Gaz;2017;53;Bretagne;RES;RESIDENTIEL;;92;1318.19;14.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vialis;Gaz;2017;44;Grand Est;RES;RESIDENTIEL;;30951;421438.97;13.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coopérative d'électricité de Saint Martin de Londres;Electricité;2017;76;Occitanie;RES;RESIDENTIEL;;38785;271274.89;6.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coopérative d'électricité de Villiers sur Marne;Electricité;2017;11;Île-de-France;RES;RESIDENTIEL;;13357;56378.0;4.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EdF-SEI;Electricité;2017;04;La Réunion;RES;RESIDENTIEL;;348529;1189788.0;3.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Electricité de Strasbourg;Electricité;2017;44;Grand Est;RES;RESIDENTIEL;;537683;2838649.97;5.0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2017;11;Île-de-France;RES;RESIDENTIEL;;6415139;29920228.12;4.0;238;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2017;27;Bourgogne-Franche-Comté;RES;RESIDENTIEL;;1697123;8809915.29;5.0;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2017;52;Pays de la Loire;RES;RESIDENTIEL;;2195337;12278255.31;5.0;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2017;75;Nouvelle-Aquitaine;RES;RESIDENTIEL;;3501796;18969144.56;5.0;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energie développement services du Briançonnais;Electricité;2017;93;Provence-Alpes-Côte d'Azur;RES;RESIDENTIEL;;11078;50309.0;4.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energie et services de Seyssel;Electricité;2017;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;28668;203759.0;7.0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2017;44;Grand Est;RES;RESIDENTIEL;;2088;10116.0;4.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2017;44;Grand Est;RES;RESIDENTIEL;;8600;28000.0;3.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gascogne Energies Services;Electricité;2017;75;Nouvelle-Aquitaine;RES;RESIDENTIEL;;3155;14617.88;4.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gaz de Barr;Electricité;2017;44;Grand Est;RES;RESIDENTIEL;;4066;18485.0;4.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gazelec de Péronne;Electricité;2017;32;Hauts-de-France;RES;RESIDENTIEL;;4616;25993.0;5.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GÉRÉDIS;Electricité;2017;75;Nouvelle-Aquitaine;RES;RESIDENTIEL;;150651;993584.57;6.0;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gignac Energie;Electricité;2017;76;Occitanie;RES;RESIDENTIEL;;2146;16117.75;7.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupement Elise - Régie de Pinsot;Electricité;2017;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;189;638.0;3.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupement Elise - Régie de Saint-Pierre-d'Allevard;Electricité;2017;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;1311;7991.0;6.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
